"冰球","icehockey",13,"全部",150,20,60,76,NULL,NULL,NULL
"冰球","ht_icehockey",1,"讓分",160,20,60,76,"point",NULL,NULL
"冰球","ht_icehockey",2,"大小",150,20,60,76,"ou",NULL,NULL
"冰球","ht_icehockey",3,"獨贏",150,20,60,76,"ml",NULL,NULL
"冰球","ht_icehockey",4,"單雙",150,20,60,76,"odd_even",NULL,NULL
"冰球","ht_icehockey",5,"走地讓分",150,20,60,76,NULL,NULL,NULL
"冰球","ht_icehockey",6,"走地大小",150,20,60,76,NULL,NULL,NULL
"冰球","ht_icehockey",14,"走地單雙",150,20,60,76,NULL,NULL,NULL
"冰球","ht_icehockey",15,"一輸二贏",150,20,60,76,"one_win",NULL,NULL
"冰球","ht_icehockey",10,"讓分過關",500,20,60,76,NULL,NULL,NULL
"冰球","ht_icehockey",11,"綜合過關",500,20,60,76,NULL,NULL,NULL
"冰球","ht_icehockey",13,"全部",150,20,60,76,NULL,NULL,NULL
"指數","index",2,"大小",150,20,60,NULL,"ou",NULL,NULL
"指數","index",4,"單雙",150,20,60,NULL,"odd_even",NULL,NULL
"指數","index",11,"綜合過關",500,20,60,NULL,NULL,NULL,NULL
"指數","index",13,"全部",150,20,60,NULL,NULL,NULL,NULL
"日職","jp_baseball",1,"讓分",160,20,60,81,"point",NULL,799
"日職","jp_baseball",2,"大小",150,20,60,81,"ou",NULL,799
"日職","jp_baseball",3,"獨贏",150,20,60,81,"ml",NULL,799
"日職","jp_baseball",4,"單雙",150,20,60,81,"odd_even",NULL,799
"日職","jp_baseball",15,"一輸二贏",150,20,60,81,"one_win",NULL,799
"日職","jp_baseball",5,"走地讓分",150,20,60,81,NULL,NULL,799
"日職","jp_baseball",6,"走地大小",150,20,60,81,NULL,NULL,799
"日職","jp_baseball",14,"走地單雙",150,20,60,81,NULL,NULL,799
"日職","jp_baseball",10,"讓分過關",525,20,60,81,NULL,NULL,799
"日職","jp_baseball",11,"綜合過關",500,20,60,81,NULL,NULL,799
"日職","jp_baseball",13,"全部",150,20,60,81,NULL,NULL,799
"彩球","lottery",2,"大小",150,20,60,NULL,"ou",NULL,NULL
"彩球","lottery",4,"單雙",150,20,60,NULL,"odd_even",NULL,NULL
"彩球","lottery",11,"綜合過關",500,20,60,NULL,NULL,NULL,NULL
"彩球","lottery",13,"全部",150,20,60,NULL,NULL,NULL,NULL
"撞球","pool",1,"讓分",150,20,60,143,"point",NULL,NULL
"撞球","pool",2,"大小",150,20,60,143,"ou",NULL,NULL
"撞球","pool",3,"獨贏",150,20,60,143,"ml",NULL,NULL
"撞球","pool",4,"單雙",150,20,60,143,"odd_even",NULL,NULL
"撞球","pool",5,"走地讓分",150,20,60,143,NULL,NULL,NULL
